Fecha;EUA;CER;SPREAD (EUA - CER)
2/01/2008;23;17.18;5,82
3/01/2008;23.58;17.4;6,18
4/01/2008;23.6;17.45;6,15
7/01/2008;23.63;17.6;6,03
8/01/2008;23.7;17.6;6,1
9/01/2008;23.48;17.65;5,83
10/01/2008;23.13;17.4;5,73
11/01/2008;23.1;17.4;5,7
14/01/2008;23.48;17.4;6,08
15/01/2008;23.23;17.35;5,88
16/01/2008;22.75;17.25;5,5
17/01/2008;22.18;17.05;5,13
18/01/2008;22.28;17.1;5,18
21/01/2008;20.8;16.2;4,6
22/01/2008;20.35;15.75;4,6
23/01/2008;19.88;15.6;4,28
24/01/2008;19.85;15.45;4,4
25/01/2008;21.03;15.65;5,38
28/01/2008;20.65;15.4;5,25
29/01/2008;20.68;14.9;5,78
30/01/2008;20;14.9;5,1
31/01/2008;19.1;14;5,1
1/02/2008;19.18;14.4;4,78
4/02/2008;19.2;14.3;4,9
5/02/2008;18.9;14;4,9
6/02/2008;19.98;14.6;5,38
7/02/2008;20.38;14.65;5,73
8/02/2008;20.4;14.65;5,75
11/02/2008;20.26;14.65;5,61
12/02/2008;19.98;14.8;5,18
13/02/2008;19.92;14.9;5,02
14/02/2008;20.7;15.25;5,45
15/02/2008;20.85;15.4;5,45
18/02/2008;20.9;15.5;5,4
19/02/2008;20.83;15.75;5,08
20/02/2008;21.75;15.8;5,95
21/02/2008;21.88;15.75;6,13
22/02/2008;21.42;15.75;5,67
25/02/2008;21.85;16;5,85
26/02/2008;21.45;15.9;5,55
27/02/2008;21.66;15.85;5,81
28/02/2008;21.97;15.8;6,17
29/02/2008;21.51;15.6;5,91
3/03/2008;21.03;15.2;5,83
4/03/2008;20.68;15.05;5,63
5/03/2008;20.66;15.15;5,51
6/03/2008;21.24;15.75;5,49
7/03/2008;21.35;15.6;5,75
10/03/2008;21.45;15.7;5,75
11/03/2008;21.83;15.85;5,98
12/03/2008;22.06;16;6,06
13/03/2008;22.45;16.05;6,4
14/03/2008;22.41;16.55;5,86
17/03/2008;22.19;16.25;5,94
18/03/2008;21.26;16.5;4,76
19/03/2008;21.66;16.4;5,26
20/03/2008;21.48;16.38;5,1
21/03/2008;21.97;16.88;5,09
25/03/2008;22.36;17.75;4,61
26/03/2008;22.45;16.9;5,55
27/03/2008;22.3;16.9;5,4
28/03/2008;21.5;16.85;4,65
31/03/2008;21.8;16.85;4,95
1/04/2008;21.85;16.8;5,05
2/04/2008;22.1;15.9;6,2
3/04/2008;22.5;16.2;6,3
4/04/2008;22.45;16.2;6,25
7/04/2008;22.6;16.25;6,35
8/04/2008;22.4;16.3;6,1
9/04/2008;22.6;16.15;6,45
10/04/2008;22.8;16.2;6,6
11/04/2008;23.3;16.6;6,7
14/04/2008;23.5;16.75;6,75
15/04/2008;23.7;16.85;6,85
16/04/2008;23.5;16.8;6,7
17/04/2008;23.45;16.75;6,7
18/04/2008;23.5;16.5;7
21/04/2008;23.6;16.6;7
22/04/2008;24;16.5;7,5
23/04/2008;23.9;16.5;7,4
24/04/2008;23.8;16.3;7,5
25/04/2008;23.9;16.2;7,7
28/04/2008;23.95;16.25;7,7
29/04/2008;23.75;16.15;7,6
30/04/2008;23.45;16.1;7,35
2/05/2008;23.4;16.1;7,3
5/05/2008;23.6;16.3;7,3
6/05/2008;23.9;16.4;7,5
7/05/2008;23.85;16.6;7,25
8/05/2008;23.9;16.9;7
9/05/2008;24.1;16.95;7,15
12/05/2008;24.25;17.05;7,2
13/05/2008;24.23;17.1;7,13
14/05/2008;24.2;17.2;7
15/05/2008;24.4;17.05;7,35
16/05/2008;24.5;17.2;7,3
19/05/2008;24.6;17.15;7,45
20/05/2008;24.9;17.2;7,7
21/05/2008;25;17.3;7,7
22/05/2008;25.25;17.6;7,65
23/05/2008;25.55;17.55;8
26/05/2008;25.9;17.6;8,3
27/05/2008;25.95;17.85;8,1
28/05/2008;25.9;17.9;8
29/05/2008;25.95;17.95;8
30/05/2008;25.93;17.97;7,96
2/06/2008;25.97;18.15;7,82
3/06/2008;26.95;18.9;8,05
4/06/2008;26.73;19.12;7,61
5/06/2008;26.25;19.15;7,1
6/06/2008;27.1;20.22;6,88
9/06/2008;27.15;20.4;6,75
10/06/2008;26.85;20.4;6,45
11/06/2008;26.7;20.25;6,45
12/06/2008;26.65;20.15;6,5
13/06/2008;26.5;20.1;6,4
16/06/2008;26.4;20.2;6,2
17/06/2008;26.55;20;6,55
18/06/2008;26.75;20.35;6,4
19/06/2008;26.9;20.4;6,5
20/06/2008;26.85;20.3;6,55
23/06/2008;27.1;20.25;6,85
24/06/2008;27.15;20.35;6,8
25/06/2008;27;20.4;6,6
26/06/2008;27.05;20.35;6,7
27/06/2008;27.4;20.55;6,85
30/06/2008;28;20.6;7,4
1/07/2008;28.3;20.9;7,4
2/07/2008;27.25;22.1;5,15
3/07/2008;27;21.45;5,55
4/07/2008;26.4;21.3;5,1
7/07/2008;27;21.8;5,2
8/07/2008;25.55;21.9;3,65
9/07/2008;25.5;21.85;3,65
10/07/2008;25.95;22.15;3,8
11/07/2008;26.8;22.6;4,2
14/07/2008;26.9;22.45;4,45
15/07/2008;26.2;22.3;3,9
16/07/2008;24.7;21.3;3,4
17/07/2008;25;21.8;3,2
18/07/2008;24.3;21.25;3,05
21/07/2008;24.15;21.2;2,95
22/07/2008;24.2;21.05;3,15
23/07/2008;24.18;20.7;3,48
24/07/2008;24.75;20.35;4,4
25/07/2008;24.75;20.2;4,55
28/07/2008;23.95;19.6;4,35
29/07/2008;23.4;18.9;4,5
30/07/2008;21.95;18.5;3,45
31/07/2008;21.9;18.3;3,6
1/08/2008;20.6;17.7;2,9
4/08/2008;20.9;17.5;3,4
5/08/2008;21.35;18.1;3,25
6/08/2008;21.95;18.6;3,35
7/08/2008;22.3;18.6;3,7
8/08/2008;22.15;19;3,15
11/08/2008;22.15;19.15;3
12/08/2008;23.1;19.55;3,55
13/08/2008;23.4;19.95;3,45
14/08/2008;23.1;19.8;3,3
18/08/2008;23.15;19.65;3,5
19/08/2008;23.1;20.15;2,95
20/08/2008;23.95;20.1;3,85
21/08/2008;24.2;20.3;3,9
22/08/2008;24.15;20.45;3,7
25/08/2008;24.1;20.5;3,6
26/08/2008;24.15;20.6;3,55
27/08/2008;24.5;20.95;3,55
28/08/2008;24.6;21.05;3,55
29/08/2008;24.95;21.25;3,7
1/09/2008;24.2;21.2;3
2/09/2008;24.05;20.65;3,4
3/09/2008;24;20.5;3,5
4/09/2008;24.05;20.8;3,25
5/09/2008;24;20.85;3,15
8/09/2008;23.95;20.3;3,65
9/09/2008;22.95;19.45;3,5
10/09/2008;22.6;19.4;3,2
11/09/2008;22.9;19.3;3,6
12/09/2008;23.45;20.05;3,4
15/09/2008;22.7;19.5;3,2
16/09/2008;22.55;19.45;3,1
17/09/2008;22.9;19.65;3,25
18/09/2008;23;19.5;3,5
19/09/2008;23.95;20.6;3,35
22/09/2008;24.45;20.6;3,85
23/09/2008;24.6;20.5;4,1
24/09/2008;24.4;20.2;4,2
25/09/2008;24.1;20.25;3,85
26/09/2008;24;20.1;3,9
29/09/2008;22.8;18.9;3,9
30/09/2008;21.8;18.9;2,9
1/10/2008;22;19.1;2,9
2/10/2008;22.45;19.3;3,15
3/10/2008;21.1;19.1;2
6/10/2008;21.8;18.5;3,3
7/10/2008;21.9;18.95;2,95
8/10/2008;21.5;19;2,5
9/10/2008;22.2;19.8;2,4
10/10/2008;21.6;19.2;2,4
13/10/2008;22;19.95;2,05
14/10/2008;22.5;20.15;2,35
15/10/2008;22.1;19.85;2,25
16/10/2008;21.6;19.25;2,35
17/10/2008;21.4;19.15;2,25
20/10/2008;21.3;19;2,3
21/10/2008;21;18.2;2,8
22/10/2008;19.7;17.2;2,5
23/10/2008;19.8;17.05;2,75
24/10/2008;18.5;16.25;2,25
27/10/2008;17.25;15;2,25
28/10/2008;17.35;15.05;2,3
29/10/2008;17.6;15.1;2,5
30/10/2008;17.9;15.3;2,6
31/10/2008;17.67;15;2,67
3/11/2008;18.06;15.15;2,91
4/11/2008;18.5;15.75;2,75
5/11/2008;18.52;16;2,52
6/11/2008;18.12;15.65;2,47
7/11/2008;18.75;16.2;2,55
10/11/2008;18.62;16.18;2,44
11/11/2008;17.99;15.7;2,29
12/11/2008;17.75;15.65;2,1
13/11/2008;17.78;15.95;1,83
14/11/2008;17.45;15.92;1,53
17/11/2008;16.97;15.6;1,37
18/11/2008;16.1;15;1,1
19/11/2008;16.2;15.1;1,1
20/11/2008;14.65;13.5;1,15
21/11/2008;14.99;13.8;1,19
24/11/2008;15.4;14.4;1
25/11/2008;15.2;14.18;1,02
26/11/2008;15.4;14.05;1,35
27/11/2008;16;14.7;1,3
28/11/2008;15.4;14.3;1,1
1/12/2008;15.6;14.5;1,1
2/12/2008;15.15;14.1;1,05
3/12/2008;15.2;14.2;1
4/12/2008;14.8;13.9;0,9
5/12/2008;13.72;13.2;0,52
9/12/2008;14.25;13.45;0,8
10/12/2008;14.4;13.55;0,85
11/12/2008;14.6;13.4;1,2
12/12/2008;14.5;13.2;1,3
15/12/2008;15.1;13.65;1,45
16/12/2008;15.25;13.5;1,75
17/12/2008;15.23;13.95;1,28
18/12/2008;15.03;13.15;1,88
19/12/2008;14.98;13.1;1,88
22/12/2008;15.2;13;2,2
23/12/2008;15;12.9;2,1
24/12/2008;14.85;13.05;1,8
29/12/2008;14.9;13.1;1,8
30/12/2008;15;13.15;1,85
2/01/2009;14.75;13.3;1,45
5/01/2009;14.8;13.35;1,45
6/01/2009;15.15;13.65;1,5
7/01/2009;14.9;13.55;1,35
8/01/2009;14.27;12.95;1,32
9/01/2009;14.38;12.8;1,58
12/01/2009;13.9;12.7;1,2
13/01/2009;13.7;12.4;1,3
15/01/2009;12.9;12.45;0,45
16/01/2009;12;11.8;0,2
19/01/2009;11.55;11;0,55
20/01/2009;10.7;10.25;0,45
21/01/2009;10.95;10.4;0,55
22/01/2009;11.15;10.65;0,5
23/01/2009;11;10.4;0,6
26/01/2009;11.5;10.75;0,75
27/01/2009;11.4;10.55;0,85
28/01/2009;11.1;10.5;0,6
29/01/2009;11.5;10.4;1,1
30/01/2009;11.4;10.6;0,8
2/02/2009;10.9;10.2;0,7
3/02/2009;10.5;10;0,5
4/02/2009;10.17;9.8;0,37
5/02/2009;9.9;9.6;0,3
6/02/2009;9.8;9.39;0,41
9/02/2009;9.7;9.5;0,2
10/02/2009;9.1;8.85;0,25
11/02/2009;8.32;7.98;0,34
12/02/2009;7.9;7.5;0,4
13/02/2009;8.2;7.9;0,3
16/02/2009;8.1;7.7;0,4
17/02/2009;8.4;8.1;0,3
18/02/2009;9.2;8.9;0,3
19/02/2009;10.2;9.87;0,33
20/02/2009;9.81;9.2;0,61
23/02/2009;9.35;8.95;0,4
24/02/2009;9.12;8.6;0,52
25/02/2009;9.4;9.22;0,18
26/02/2009;10.25;9.9;0,35
27/02/2009;9.95;9.55;0,4
2/03/2009;9.8;9.47;0,33
3/03/2009;10.65;9.83;0,82
4/03/2009;11.35;10.55;0,8
5/03/2009;11.09;10.75;0,34
6/03/2009;10.45;10.1;0,35
9/03/2009;11.1;10.59;0,51
10/03/2009;11.55;10.95;0,6
11/03/2009;11.16;10.43;0,73
12/03/2009;11.2;10.55;0,65
13/03/2009;11.72;11.17;0,55
16/03/2009;12.02;11.45;0,57
17/03/2009;12.55;11.82;0,73
18/03/2009;11.95;11.3;0,65
19/03/2009;11.39;10.85;0,54
20/03/2009;10.85;10.35;0,5
23/03/2009;11.49;10.68;0,81
24/03/2009;10.98;10.3;0,68
25/03/2009;10.05;9.5;0,55
26/03/2009;10.1;9.62;0,48
27/03/2009;10.6;9.45;1,15
30/03/2009;10.65;9.95;0,7
31/03/2009;11.06;10.48;0,58
1/04/2009;11.5;10.8;0,7
2/04/2009;11.86;10.7;1,16
3/04/2009;12;11.09;0,91
6/04/2009;12.19;11.05;1,14
7/04/2009;11.9;10.5;1,4
8/04/2009;12.18;10.68;1,5
9/04/2009;12.55;10.8;1,75
14/04/2009;13.52;11.2;2,32
15/04/2009;13.49;11.1;2,39
16/04/2009;13.35;10.9;2,45
17/04/2009;13.43;11.09;2,34
20/04/2009;13.1;10.9;2,2
21/04/2009;12.55;11.12;1,43
22/04/2009;13.05;11.2;1,85
23/04/2009;13.07;11.55;1,52
24/04/2009;13.05;11.16;1,89
27/04/2009;13.15;11.7;1,45
28/04/2009;13.1;11.55;1,55
29/04/2009;13.1;11.8;1,3
30/04/2009;13.25;11.3;1,95
4/05/2009;14.2;12;2,2
5/05/2009;13.9;11.8;2,1
6/05/2009;14.04;12;2,04
7/05/2009;14.42;12.15;2,27
